"Kategori","Nama","Khasiat"
"Jamu Perawatan Kewanitaan","Galian Rapat Wangi","mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan kesed area kewanitaan"
"Jamu Pasutri","Empot-empot legit","Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan"
"Jamu Kesehatan","galian singset","mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB"
"Jamu Perawatan Kewanitaan","jamu kecantikan","perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan"
"Jamu Kesehatan","jamu galian montok","untuk menambah nafsu makan"
"Jamu Perawatan Kewanitaan","jamu terlambat bulan (lancar darah)","mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur"
"Jamu Perawatan Kewanitaan","jamu melancarkan asi (pejje)","melancarkan keluarnya ASI"
"Jamu Perawatan Kewanitaan","serbuk wasiat dan butiran delima","mengatasi keputihan dan lendir berlebih di area kewanitaan"
"Jamu Kesehatan","parfum rempah","menyegarkan bau badan dengan aroma khas rempah khas"
"Jamu Perawatan Kewanitaan","cebokan rempah","mengatasi keputihan dan gatal akibat bakteri dan jamur"
"Jamu Perawatan Kewanitaan","pancuran nikmat","antiseptic kewanitaan tanpa dibilas"
"Jamu Perawatan Kewanitaan","sabun kesed","sabun khusus wanita untuk mengatasi keputihan"
"Jamu Perawatan Kewanitaan","v-spa rempah","detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap"
"Jamu Perawatan Kewanitaan","jamu bersalin","perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises"
"Jamu Kesehatan","paket perawatan pranikah","mengurangi bau badan, membuat kulit bersih dan lebih cerah"
"Jamu Pasutri","1 paket ramuan khusus wanita","perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra"
"Jamu Perawatan Kewanitaan","jamu penyubur kandungan","menyuburkan kandungan"
